"","Branch.Name","Library.Type","Address","Website","Phone.Number","latitude","longitude","Charge","type2","type3","Label"
"1","Barnes & Noble","Bookstore","2405 Hwy 70 SE, Hickory, NC 28602","https://stores.barnesandnoble.com","(828) 304-4600",35.702679,-81.2919,"Free",NA,"Barnes & Noble","<B>Barnes & Noble</B><br><B>Bookstore</B><br><B>Charge: </B>Free<br><B>Address: </B>2405 Hwy 70 SE, Hickory, NC 28602<br><a href=""https://stores.barnesandnoble.com"" target=""_blank"">Website</a><br>"
"2","Barnes & Noble","Bookstore","611 River Highway, Mooresville, NC 28117","https://stores.barnesandnoble.com","(980) 447-8221",35.593799,-80.8735,"Free",NA,"Barnes & Noble","<B>Barnes & Noble</B><br><B>Bookstore</B><br><B>Charge: </B>Free<br><B>Address: </B>611 River Highway, Mooresville, NC 28117<br><a href=""https://stores.barnesandnoble.com"" target=""_blank"">Website</a><br>"
"3","Barnes & Noble","Bookstore","8725 Townley Road, Huntersville, NC 28078","https://stores.barnesandnoble.com","(704) 895-8855",35.444708,-80.8794,"Free",NA,"Barnes & Noble","<B>Barnes & Noble</B><br><B>Bookstore</B><br><B>Charge: </B>Free<br><B>Address: </B>8725 Townley Road, Huntersville, NC 28078<br><a href=""https://stores.barnesandnoble.com"" target=""_blank"">Website</a><br>"
"4","Barnes & Noble","Bookstore","8062 Concord Mills Blvd, Concord, NC 28027","https://stores.barnesandnoble.com","(980) 866-4941",35.372625,-80.7157,"Free",NA,"Barnes & Noble","<B>Barnes & Noble</B><br><B>Bookstore</B><br><B>Charge: </B>Free<br><B>Address: </B>8062 Concord Mills Blvd, Concord, NC 28027<br><a href=""https://stores.barnesandnoble.com"" target=""_blank"">Website</a><br>"
"5","Barnes & Noble","Bookstore","11025 Carolina Place,Pineville, NC 28134","https://stores.barnesandnoble.com","(704) 544-9985",35.082677,-80.8769,"Free",NA,"Barnes & Noble","<B>Barnes & Noble</B><br><B>Bookstore</B><br><B>Charge: </B>Free<br><B>Address: </B>11025 Carolina Place,Pineville, NC 28134<br><a href=""https://stores.barnesandnoble.com"" target=""_blank"">Website</a><br>"
"6","Barnes & Noble","Bookstore","4020 Sharon Road, Charlotte, NC 28211","https://stores.barnesandnoble.com","(704) 364-0626",35.155494,-80.8246,"Free",NA,"Barnes & Noble","<B>Barnes & Noble</B><br><B>Bookstore</B><br><B>Charge: </B>Free<br><B>Address: </B>4020 Sharon Road, Charlotte, NC 28211<br><a href=""https://stores.barnesandnoble.com"" target=""_blank"">Website</a><br>"
"7","Barnes & Noble","Bookstore","3327 Pineville-Matthews Road, Charlotte, NC 28226","https://stores.barnesandnoble.com","(704) 341-9365",35.096533,-80.7839,"Free",NA,"Barnes & Noble","<B>Barnes & Noble</B><br><B>Bookstore</B><br><B>Charge: </B>Free<br><B>Address: </B>3327 Pineville-Matthews Road, Charlotte, NC 28226<br><a href=""https://stores.barnesandnoble.com"" target=""_blank"">Website</a><br>"
"8","Barnes & Noble","Bookstore","1311 Kildaire Farm Rd. Cary, NC 27511","https://stores.barnesandnoble.com","(984) 208-5938",35.760819,-78.7819,"Free",NA,"Barnes & Noble","<B>Barnes & Noble</B><br><B>Bookstore</B><br><B>Charge: </B>Free<br><B>Address: </B>1311 Kildaire Farm Rd. Cary, NC 27511<br><a href=""https://stores.barnesandnoble.com"" target=""_blank"">Website</a><br>"
"9","Barnes & Noble","Bookstore","436 Daniels St, Raleigh, NC 27605","https://stores.barnesandnoble.com","(919) 664-1730",35.790106,-78.6606,"Free",NA,"Barnes & Noble","<B>Barnes & Noble</B><br><B>Bookstore</B><br><B>Charge: </B>Free<br><B>Address: </B>436 Daniels St, Raleigh, NC 27605<br><a href=""https://stores.barnesandnoble.com"" target=""_blank"">Website</a><br>"
"10","Barnes & Noble","Bookstore","4325 Glenwood Ave, Raleigh, NC 27612","https://stores.barnesandnoble.com","(919) 782-0030",35.836811,-78.6755,"Free",NA,"Barnes & Noble","<B>Barnes & Noble</B><br><B>Bookstore</B><br><B>Charge: </B>Free<br><B>Address: </B>4325 Glenwood Ave, Raleigh, NC 27612<br><a href=""https://stores.barnesandnoble.com"" target=""_blank"">Website</a><br>"
